artist_id	genres	am_genres
40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27	alternative rock,indie pop,indie rock,jangle pop,new wave,post-punk,rock	punk,alternative,rock,pop
2abeb98a-4284-43f2-a23f-660df7890d0c	ambient,black metal,classical,experimental,folk,progressive rock	classical,folk,rock
1e902aca-f90a-49fd-b7ef-bc844fb7c8a7	screamo	
d41817d9-893f-4dd1-99ac-7b12dc3ba265	funk,r&b,soul	rnb
bcd60b0c-37b7-4fe1-95f4-6c9511219a78	jazz	jazz
05ecc00b-ae9e-4155-8b3a-eccd2eb826a8	jazz	jazz
8dd5972d-c1ad-42fd-a8ed-abee996ea720	hardcore techno	
4e0dffde-ad2d-45b7-9c75-d57ce55de061	power metal,symphonic metal	
440981eb-1c1e-43b7-a0bc-518bc9297a0c	blues,r&b	blues,rnb
693097c4-17ec-4bb8-9b7c-74a5a2a85723	hip hop	
2793d3b1-9210-44b7-93fe-4c4005064e76	dance,electronic,pop	electronic,pop
df87d5be-c4b5-48e4-97b2-6440b77ca4fb	alternative rock,folk rock	alternative,folk,rock
0095329b-f139-4ef4-949b-1a6d3b578cde	pop	pop
3a0e86f3-1b0a-433b-b5cb-2ce0a05f649e	black metal	
fb92ed16-0b0d-409b-99d3-f939422fda07	hip hop	
15a62cc4-fe9d-42c0-8239-fb39634c8fe3	contemporary classical,experimental electronic,tape music	classical,electronic
382f5e89-5887-4297-b24e-b06fc3787b37	rock	rock
72f05c22-c63c-4fc4-95a6-35fc610e5fe9	blues rock	blues,rock
e5760988-7ead-4af3-99ac-91a17390da9c	production music	
5f1b1f7f-89f6-4ab9-ab9a-3038421a0bd0	hip hop	
29070ba5-c3df-41d9-bed0-8e2f1e1c22ad	folk,folk rock,indie pop,indie rock	folk,rock,pop
c2907e5b-86cd-4a00-91ab-fc6241113273	krautrock,psychedelic rock,space rock	rock
71dfd0cb-23e9-4326-bfa8-5f5ff8b90dcc	alternative metal,hard rock,post-grunge	alternative,rock
e2b55566-05df-4985-82dd-ad3631308c6f	downtempo,trip hop	
a4632c8a-e9b4-4cbd-92ef-04d080a4a362	punk	punk
716dc57d-75a5-4fa2-b593-ed537506218a	death metal,groove metal	
70419b5b-c50f-495b-95f6-633cbc336b8a	black metal	
2d2b753e-4c67-4ac5-9ebc-5d70fe1d979c	punk	punk
b3efd2f1-b194-4fe5-9b6c-beac9648f860	city pop,pop	pop
c981b771-e3d8-4709-bf00-3b3ce479b675	disco,hard rock,pop	rock,pop
905b78b3-5c51-48c6-a945-2a76ba52e416	latin,latin pop,latin rock	rock,pop
dfeb6ae4-29ba-4245-a79b-9c6e9e5b11f2	britpop	pop
f59cde77-6450-41e8-81df-dbb947169fef	rock	rock
5501ec7f-731c-4b8d-8679-1680224930d6	classical	classical
5c1a3f8f-d5e5-4dcd-9e44-9443f06bb77d	baroque,classical,latin	classical
0c049565-c0f3-4495-a886-52958ed588d8	classical	classical
35435f90-6237-4438-a310-e075761f0e2f	gothic metal,groove metal,heavy metal,metal	heavy metal
d723750d-db44-4667-ab57-52a54469310f	doom metal,stoner metal	
5a6b6f14-04c4-458e-af57-a95ff2d69666	dub techno,electronic	electronic
5ca79122-8fac-45ec-a45d-352ecbf7a2bb	punk	punk
2e6d3549-6869-4fad-94bb-490cd3f1b6a2	garage rock	rock
e0ff9119-fdd6-4dda-bae5-0afaa7773881	jazz	jazz
09de3956-b8db-4331-98f1-ccd424bb2ae8	thrash metal	
16c88823-a18d-4c76-a861-31ca201d9c04	jazz	jazz
44530b27-4894-4479-afeb-f937e6a28078	garage rock	rock
df278a82-ae18-4be2-bd92-6191140f43f6	dubstep,grime	
19bd6c88-741b-4887-8a14-5f89882895d4	boom bap,chillwave,downtempo,hip hop,instrumental,instrumental hip hop,lo-fi,lo-fi hip hop	
05bc0e42-f06f-48a0-ba8a-0b99b62ef028	indie pop,pop	pop
03759996-685b-4713-a35b-d54dbd3e7e4d	djent,progressive metal	
a18c050d-b706-441f-924c-ef0ce253b588	jazz	jazz
664725d2-c2ee-46dd-8ab2-48e1a19b14d3	rock	rock
a76bac9c-903a-4be7-8046-debf58de2ee9	celtic,folk,irish folk	folk
4814f400-db3d-4422-968d-0c9c021a65ca	emo,grunge,post-hardcore,rock,shoegaze	rock
67a6fbd2-fb54-4d14-b7d6-c7808bfe2609	trance	
cad0a821-f66d-4947-89c4-04ed9e7786df	folk,folk pop,folk rock	folk,rock,pop
e4b2dc55-a860-42d8-912e-9591adfc6838	jazz	jazz
ba21eb91-9d75-4a33-954a-383a19f0316b	techno	
e045ae94-5fcf-449c-8990-2f2699edc580	hip hop	
6207d896-8568-49ec-9545-905a5f7b0c2f	martial industrial,neofolk,psychedelic rock,rock	folk,rock
8f808b80-4f23-466b-9f87-d2561755ec0b	punk	punk
fa598e78-5cc5-4a8b-a3b5-63934d4712c7	folk,folk rock,rock,singer-songwriter	folk,rock
e532665d-dc16-4707-8bf4-33305f436a54	experimental,industrial,industrial rock,noise	rock
cd30757c-33b0-4365-ac7b-c65c052d236d	jazz	jazz
69837400-8e31-4949-aac2-00b46b4df126	folk,indie pop	folk,pop
f5535b25-11fb-429c-8589-417ded07caf7	jazz	jazz
55b87abd-fd36-4f8e-8342-d2622c545efc	classical	classical
18876569-8e78-45ec-826a-fc99f3485168	electronic	electronic
a0b2f210-cd3a-453d-937d-e4f2658d17c7	dance-pop,europop,pop,rock,teen pop	rock,pop
25c81bf8-9bea-4750-bb5e-c504defa8729	pop,singer-songwriter	pop
9590b44e-6c1c-4b12-8afe-5975f3adf037	pop soul,progressive rock,psychedelic pop,symphonic prog	rock,pop
ef0344c6-e24d-4fd3-be7e-c4eb9f62be2d	alternative rock,indie rock,singer-songwriter	alternative,rock
66d97594-15fd-49b9-8359-0c014dbe8719	classical	classical
cf764fb5-73d9-4bef-add5-ca3e35e08509	idm	
3e5cfcf1-4bd5-4b2e-9649-904a010b5659	blues	blues
2e352816-d077-42bd-a1a4-fc5cd546833e	free improvisation,free jazz,jazz	jazz
044cb251-d596-40e2-a4a8-6b2943af05c9	punk	punk
23d1dfc6-0281-488a-8e32-ef7ddc279fbc	contemporary r&b,pop soul	rnb,pop
71472695-1aec-4015-992b-c29f769cd5ae	vocal house	vocal
09229541-cebf-49a1-b0b2-ee9e7a76b2c4	hip hop	
e7767b5f-cd56-458c-9fa1-9c111ce66c28	rock	rock
68fcf3ca-8ce3-411c-8217-a03ce20b1bbc	hard rock	rock
